Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,3,18.2,,12,6.9,,12,6.9,,53,252.8,,38,262.9,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,5,8.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/egt/egt-0474,,2,0.2,,10,0.2,,10,0.2,,10,0.2,,10,0.2,,,
QF_ABV/egt/egt-1526,,2,0.2,,11,0.2,,11,0.2,,11,0.3,,11,0.3,,,
QF_ABV/egt/egt-1550,,2,0.2,,23,0.6,,13,0.6,,23,1.0,,13,1.0,,,
QF_ABV/egt/egt-4211,,2,0.2,,3,0.1,,3,0.1,,3,0.1,,3,0.1,,,
QF_ABV/egt/egt-6650,,2,0.1,,3,0.1,,3,0.1,,4,0.1,,3,0.1,,,
QF_ABV/egt/egt-7155,,2,0.2,,3,0.1,,3,0.1,,3,0.1,,3,0.1,,,
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.2,,21,1.4,,21,1.4,,21,1.4,,21,1.4,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,3,0.9,,58,9.2,,43,14.0,,49,21.5,,41,21.1,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,2,1.4,,38,16.5,,25,23.3,,33,34.3,,18,34.3,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,2,1.6,,16,12.3,,15,12.3,,22,31.4,,18,22.0,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,2,1.6,,17,24.5,,15,24.5,,26,27.4,,17,32.3,,,
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,2,1.1,,62,3.7,,62,3.7,,58,1.9,,58,1.9,,,
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,2,1.1,,55,12.2,,38,20.9,,56,26.5,,38,26.1,,,
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,3,2.7,,26,8.0,,26,8.0,,26,35.5,,26,35.5,,,
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,3,2.4,,45,38.3,,44,38.3,,46,69.2,,42,69.2,,,
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,3,3.0,,41,38.8,,34,55.7,,28,24.2,,28,24.2,,,
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,3,3.2,,29,18.8,,29,18.8,,63,77.6,,61,77.6,,,
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,3,3.1,,57,51.7,,50,51.7,,39,78.4,,37,78.4,,,
