Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_2461,,18,152.2,,16,256.6,,16,278.6,,17,373.0
QF_BV/sage/app1/bench_2465,,16,188.7,,17,221.7,,17,442.2,,18,454.8
QF_BV/sage/app1/bench_2466,,18,284.3,,18,414.7,,16,348.5,,17,351.9
QF_BV/sage/app1/bench_2468,,18,287.6,,18,154.2,,17,313.0,,17,442.4
QF_BV/sage/app1/bench_2472,,18,168.9,,17,212.6,,18,308.1,,17,399.0
QF_BV/sage/app1/bench_2473,,18,215.1,,17,211.5,,17,288.1,,18,391.3
QF_BV/sage/app1/bench_2474,,17,226.3,,19,238.8,,18,324.4,,17,262.8
QF_BV/sage/app1/bench_2477,,19,222.5,,19,166.6,,18,493.2,,17,387.1
QF_BV/sage/app1/bench_2481,,18,227.0,,18,157.7,,17,295.7,,16,376.1
QF_BV/sage/app1/bench_2525,,17,273.6,,17,165.7,,17,423.8,,16,385.5
QF_BV/sage/app1/bench_2529,,18,196.6,,17,218.2,,17,246.3,,17,379.8
QF_BV/sage/app1/bench_2547,,17,260.3,,17,260.3,,17,331.1,,17,431.9
QF_BV/sage/app1/bench_2582,,19,169.8,,19,218.6,,18,265.6,,18,374.1
QF_BV/sage/app1/bench_2586,,19,150.0,,19,212.4,,18,307.5,,18,244.9
QF_BV/sage/app1/bench_2587,,20,146.5,,18,202.0,,19,300.2,,18,337.1
QF_BV/sage/app1/bench_2588,,18,143.6,,17,239.2,,17,227.4,,15,352.1
QF_BV/sage/app1/bench_2593,,19,132.9,,17,223.6,,18,279.6,,18,392.6
QF_BV/sage/app1/bench_2594,,19,171.6,,18,185.5,,17,266.6,,19,432.1
QF_BV/sage/app1/bench_2595,,18,171.3,,18,127.6,,18,257.7,,18,364.7
QF_BV/sage/app1/bench_2598,,18,135.4,,18,220.4,,17,276.2,,18,228.8
QF_BV/sage/app1/bench_2602,,18,163.8,,18,151.0,,18,397.6,,18,248.3
QF_BV/sage/app1/bench_2634,,17,182.0,,18,240.4,,17,327.8,,16,398.7
QF_BV/sage/app1/bench_2644,,16,813.6,,14,497.2,,14,1388.3,,14,1101.8
QF_BV/sage/app1/bench_2660,,17,225.3,,19,142.4,,18,265.6,,18,410.2
QF_BV/sage/app12/bench_1570,,7,7.3,,6,11.8,,6,20.5,,6,24.2
QF_BV/sage/app12/bench_1592,,8,10.7,,7,14.0,,7,29.4,,7,50.1
QF_BV/sage/app12/bench_1603,,7,14.0,,6,18.2,,6,29.3,,6,37.1
QF_BV/sage/app12/bench_1625,,6,7.8,,6,11.9,,5,13.3,,5,21.8
QF_BV/sage/app12/bench_1636,,7,8.5,,6,17.7,,5,21.7,,5,31.3
QF_BV/sage/app12/bench_1670,,6,8.5,,6,12.1,,6,25.3,,6,36.8
QF_BV/sage/app12/bench_1681,,6,7.4,,6,17.7,,5,21.4,,5,27.9
QF_BV/sage/app12/bench_1692,,6,12.1,,6,11.0,,6,16.9,,6,23.5
QF_BV/sage/app12/bench_1803,,7,8.8,,6,12.0,,6,23.5,,6,33.3
QF_BV/sage/app12/bench_1914,,7,9.2,,6,11.6,,6,25.1,,5,31.5
QF_BV/sage/app12/bench_2047,,7,7.8,,7,24.7,,6,24.2,,6,34.9
QF_BV/sage/app12/bench_2625,,7,8.6,,6,11.5,,6,23.9,,6,37.3
QF_BV/sage/app12/bench_2714,,6,7.9,,6,12.0,,6,23.5,,6,33.5
QF_BV/sage/app12/bench_2847,,7,8.4,,6,12.1,,6,34.6,,6,32.2
QF_BV/sage/app12/bench_2869,,7,12.7,,6,12.3,,6,18.9,,6,36.4
QF_BV/sage/app12/bench_2892,,7,9.8,,6,11.8,,6,40.2,,6,23.2
QF_BV/sage/app12/bench_2914,,7,9.1,,6,11.3,,6,25.1,,6,34.0
QF_BV/sage/app12/bench_2969,,6,9.8,,6,11.5,,6,24.8,,5,20.0
QF_BV/sage/app12/bench_3014,,7,10.8,,6,17.2,,6,33.8,,5,28.6
QF_BV/sage/app12/bench_3202,,6,9.8,,6,12.2,,6,25.3,,6,23.5
QF_BV/sage/app12/bench_3236,,7,7.6,,7,11.2,,6,37.5,,6,29.8
QF_BV/sage/app12/bench_3247,,8,15.5,,6,11.4,,6,17.6,,6,35.4
QF_BV/sage/app12/bench_3258,,7,12.7,,6,10.0,,6,20.3,,6,27.8
QF_BV/sage/app12/bench_3291,,7,13.6,,7,20.3,,6,24.0,,6,47.0
QF_BV/sage/app12/bench_3324,,7,13.6,,6,12.4,,6,23.9,,6,36.8
QF_BV/sage/app12/bench_3337,,7,8.6,,6,12.3,,6,24.5,,6,38.4
QF_BV/sage/app12/bench_3359,,8,10.3,,8,24.7,,7,26.5,,7,63.5
QF_BV/sage/app12/bench_3381,,9,19.0,,8,20.6,,7,37.5,,7,48.1
QF_BV/sage/app12/bench_3392,,8,9.9,,7,17.1,,7,35.8,,7,42.7
QF_BV/sage/app12/bench_3403,,6,11.0,,6,14.3,,6,30.5,,6,43.6
QF_BV/sage/app12/bench_3414,,9,17.2,,7,15.6,,7,39.1,,7,38.8
QF_BV/sage/app12/bench_3425,,9,20.4,,8,29.2,,7,24.9,,7,60.4
QF_BV/sage/app12/bench_3459,,8,15.0,,8,20.4,,7,27.8,,7,46.5
QF_BV/sage/app12/bench_3470,,10,23.0,,9,27.9,,8,51.9,,8,53.1
QF_BV/sage/app12/bench_3481,,10,20.0,,8,18.1,,7,37.3,,7,44.9
QF_BV/sage/app12/bench_3592,,9,15.2,,8,19.4,,7,28.4,,7,41.8
QF_BV/sage/app12/bench_3703,,9,17.1,,8,16.9,,7,26.6,,7,38.5
QF_BV/sage/app12/bench_3836,,10,13.6,,8,15.8,,7,26.5,,8,50.4
QF_BV/sage/app12/bench_4114,,10,20.0,,8,16.6,,8,35.0,,8,47.2
QF_BV/sage/app12/bench_4202,,10,11.4,,8,23.0,,8,33.4,,8,51.9
QF_BV/sage/app12/bench_4681,,9,18.4,,8,17.5,,8,54.4,,7,41.2
QF_BV/sage/app12/bench_5258,,9,17.9,,8,17.9,,8,27.8,,7,39.2
QF_BV/sage/app12/bench_5324,,10,12.2,,8,18.3,,8,20.8,,8,47.8
QF_BV/sage/app12/bench_5327,,11,15.7,,8,21.2,,8,26.1,,8,34.6
QF_BV/sage/app12/bench_5328,,10,12.1,,8,26.6,,8,53.1,,7,37.3
QF_BV/sage/app12/bench_5329,,11,13.1,,8,16.4,,8,36.5,,8,48.6
QF_BV/sage/app12/bench_5333,,11,20.9,,8,21.9,,8,37.8,,8,34.8
QF_BV/sage/app12/bench_5334,,10,11.6,,8,17.5,,8,41.5,,8,28.7
QF_BV/sage/app12/bench_5335,,11,20.6,,9,27.2,,8,34.7,,8,53.3
QF_BV/sage/app12/bench_5348,,11,20.8,,8,18.3,,8,36.2,,8,48.6
QF_BV/sage/app12/bench_5349,,11,21.0,,9,16.3,,8,23.6,,8,58.1
QF_BV/sage/app12/bench_5350,,9,11.5,,8,18.2,,8,33.1,,7,42.7
QF_BV/sage/app12/bench_5354,,11,13.9,,8,17.1,,8,36.4,,8,50.6
QF_BV/sage/app12/bench_5361,,9,18.9,,8,15.6,,7,20.2,,8,49.7
QF_BV/sage/app12/bench_5365,,9,11.1,,8,12.7,,8,27.3,,8,31.9
QF_BV/sage/app12/bench_5367,,10,17.0,,10,19.5,,9,44.1,,9,60.7
QF_BV/sage/app12/bench_5369,,12,15.8,,11,24.9,,11,50.5,,10,60.3
QF_BV/sage/app12/bench_5370,,9,12.3,,9,24.0,,8,74.0,,8,45.3
QF_BV/sage/app12/bench_5371,,9,20.2,,8,22.5,,8,39.7,,8,51.1
QF_BV/sage/app12/bench_5372,,10,16.5,,9,21.1,,9,69.4,,8,52.8
QF_BV/sage/app12/bench_5373,,11,21.6,,8,25.9,,8,22.8,,7,45.8
QF_BV/sage/app12/bench_5377,,11,25.4,,9,21.5,,8,42.8,,8,50.3
QF_BV/sage/app12/bench_5378,,10,15.0,,9,30.2,,8,39.7,,8,54.6
QF_BV/sage/app12/bench_5379,,11,15.3,,10,25.5,,9,38.0,,9,61.0
QF_BV/sage/app12/bench_5390,,10,23.9,,9,33.4,,8,25.9,,8,48.5
QF_BV/sage/app12/bench_5401,,12,17.1,,9,21.5,,8,38.3,,8,53.5
QF_BV/sage/app12/bench_5414,,10,14.5,,9,28.0,,8,31.5,,8,44.1
QF_BV/sage/app12/bench_5445,,12,14.8,,9,31.9,,9,61.8,,8,32.8
QF_BV/sage/app12/bench_5457,,11,13.5,,10,30.0,,8,40.6,,8,45.5
QF_BV/sage/app12/bench_5461,,11,24.0,,9,17.5,,8,36.3,,8,45.3
