Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_ABV/bmc-arrays/simple_control_on_input,,6,11.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,22,1.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,80,3.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,12,0.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,14,1.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,15,1.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,9,510.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,10,0.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,23,0.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,9,23.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,6,39.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,10,32.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,14,0.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,25,10.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,5,1.9,,123,4.2,,123,4.2,,126,7.1,,126,7.1,,,
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,11,12.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,16,7.5,,126,6.8,,126,6.8,,126,8.4,,126,8.4,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,18,3.4,,97,2.5,,97,2.5,,98,6.4,,98,6.4,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,33,147.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,45,89.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/egt/egt-0474,,4,0.3,,48,1.6,,23,1.6,,48,1.7,,22,1.7,,,
QF_ABV/egt/egt-1526,,5,0.4,,41,1.0,,30,1.0,,41,1.1,,30,1.1,,,
QF_ABV/egt/egt-1550,,5,0.5,,80,1.8,,54,1.8,,80,2.9,,54,2.9,,,
QF_ABV/egt/egt-4211,,5,0.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/egt/egt-6650,,3,0.1,,49,1.0,,15,1.0,,49,1.1,,16,1.1,,,
QF_ABV/egt/egt-7155,,4,0.3,,64,2.2,,17,2.2,,64,2.5,,19,2.5,,,
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.2,,95,7.2,,63,7.2,,95,6.8,,63,6.8,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,39,9.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,8,4.1,,- -,- -,,104,56.6,,128,154.2,,59,224.3,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,7,5.2,,154,177.0,,80,177.0,,125,193.0,,58,178.2,,,
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,7,4.2,,146,172.1,,81,172.1,,127,166.9,,67,166.9,,,
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,5,2.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,6,2.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,12,8.5,,- -,- -,,- -,- -,,91,299.1,,52,365.6,,,
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,12,8.1,,- -,- -,,- -,- -,,207,621.1,,75,357.9,,,
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,12,9.0,,- -,- -,,- -,- -,,241,726.3,,73,588.8,,,
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,13,10.1,,- -,- -,,- -,- -,,263,174.1,,139,210.4,,,
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,13,9.9,,- -,- -,,- -,- -,,257,641.0,,91,503.6,,,
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,13,11.0,,- -,- -,,- -,- -,,258,667.9,,85,574.7,,,
