Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app12/bench_5378,,1,4.0,,1,7.1,,1,9.1,,1,12.0
QF_BV/sage/app12/bench_5379,,1,3.4,,1,5.8,,1,8.8,,1,13.9
QF_BV/sage/app12/bench_5390,,1,5.8,,1,8.6,,1,9.8,,1,11.8
QF_BV/sage/app12/bench_5401,,1,3.3,,1,6.2,,1,13.1,,1,10.7
QF_BV/sage/app12/bench_5414,,1,3.4,,1,7.6,,1,7.7,,1,6.1
QF_BV/sage/app12/bench_5445,,1,6.0,,1,7.6,,1,11.8,,1,11.5
QF_BV/sage/app12/bench_5457,,1,4.8,,1,4.4,,1,4.7,,1,14.0
QF_BV/sage/app12/bench_5461,,1,4.4,,1,7.4,,1,13.6,,1,11.9
QF_BV/sage/app12/bench_5520,,1,4.7,,1,4.4,,1,6.2,,1,9.2
QF_BV/sage/app12/bench_5532,,1,3.0,,1,6.9,,1,14.9,,1,12.6
QF_BV/sage/app12/bench_5537,,1,4.2,,1,5.4,,1,8.5,,1,8.4
QF_BV/sage/app12/bench_5540,,1,4.0,,1,8.3,,1,6.9,,1,8.8
QF_BV/sage/app12/bench_5544,,1,4.6,,1,5.2,,1,7.7,,1,9.6
QF_BV/sage/app12/bench_5545,,1,4.7,,1,6.8,,1,15.1,,1,10.8
QF_BV/sage/app12/bench_5546,,1,3.4,,1,4.0,,1,15.3,,1,8.7
QF_BV/sage/app12/bench_5547,,1,4.1,,1,6.1,,1,17.4,,1,10.7
QF_BV/sage/app12/bench_5559,,1,4.6,,1,7.2,,1,8.8,,1,9.8
QF_BV/sage/app12/bench_5560,,1,4.7,,1,5.5,,1,8.5,,1,10.9
QF_BV/sage/app12/bench_5561,,1,4.6,,1,5.1,,1,7.4,,1,8.2
