Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_1877,,15,767.4,,39,1484.5,,46,2209.5,,18,394.9
QF_BV/sage/app1/bench_1913,,14,734.4,,34,1176.0,,31,2423.4,,19,386.6
QF_BV/sage/app1/bench_1914,,15,845.3,,35,1275.7,,- -,- -,,18,362.4
QF_BV/sage/app1/bench_1915,,15,853.2,,27,1557.7,,28,3139.3,,18,374.8
QF_BV/sage/app1/bench_1916,,15,756.7,,33,1815.5,,31,1511.7,,19,396.4
QF_BV/sage/app1/bench_1917,,15,814.8,,24,823.2,,43,2025.8,,19,349.4
QF_BV/sage/app1/bench_1920,,15,776.8,,29,989.8,,48,1493.2,,20,453.3
QF_BV/sage/app1/bench_1924,,16,1441.0,,25,826.3,,43,1834.2,,19,432.0
QF_BV/sage/app1/bench_1950,,16,1585.8,,29,660.5,,- -,- -,,18,398.8
QF_BV/sage/app1/bench_2004,,14,1010.2,,26,446.9,,53,3293.5,,20,321.4
QF_BV/sage/app1/bench_2005,,16,852.2,,30,790.1,,- -,- -,,18,284.3
QF_BV/sage/app1/bench_2020,,16,696.4,,26,710.4,,43,3193.2,,19,315.2
QF_BV/sage/app1/bench_2021,,15,818.4,,28,711.2,,35,1165.7,,18,252.2
QF_BV/sage/app1/bench_2022,,16,737.8,,34,924.9,,42,1628.7,,18,245.8
QF_BV/sage/app1/bench_2024,,16,388.5,,26,696.2,,64,2177.6,,19,291.8
QF_BV/sage/app1/bench_2025,,16,507.5,,27,709.5,,39,1123.2,,19,301.9
QF_BV/sage/app1/bench_2028,,16,584.5,,19,532.6,,50,1723.0,,19,267.9
QF_BV/sage/app1/bench_2031,,16,859.4,,26,541.4,,43,1866.5,,19,311.1
QF_BV/sage/app1/bench_2088,,16,608.7,,20,429.1,,53,1135.4,,19,307.6
QF_BV/sage/app1/bench_2089,,14,951.1,,27,984.4,,43,2294.1,,17,430.7
QF_BV/sage/app1/bench_2124,,15,940.2,,29,642.3,,- -,- -,,20,295.1
QF_BV/sage/app1/bench_2128,,17,695.5,,24,619.9,,63,2265.2,,20,293.2
QF_BV/sage/app1/bench_2129,,17,1611.0,,21,968.0,,- -,- -,,20,426.1
QF_BV/sage/app1/bench_2133,,17,624.5,,23,613.5,,58,1986.7,,20,397.9
QF_BV/sage/app1/bench_2135,,17,1280.9,,25,772.0,,42,1725.3,,20,278.3
